[INFO 3:32:42 PM] miguelsolorio.symbols activated
[INFO 3:32:42 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:32:42 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:32:42 PM] symbols.files.associations changed, updating to undefined
[INFO 3:32:43 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:32:43 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:32:43 PM] symbols.files.associations changed, updating to undefined
[INFO 3:32:43 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:32:43 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:32:43 PM] symbols.files.associations changed, updating to undefined
[INFO 3:33:04 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:33:04 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:33:04 PM] symbols.files.associations changed, updating to undefined
[INFO 3:33:22 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:33:22 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:33:22 PM] symbols.files.associations changed, updating to undefined
[INFO 3:33:31 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:33:31 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:33:31 PM] symbols.files.associations changed, updating to undefined
[INFO 3:33:44 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:33:44 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:33:44 PM] symbols.files.associations changed, updating to undefined
[INFO 3:33:45 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:33:45 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:33:45 PM] symbols.files.associations changed, updating to undefined
[INFO 3:34:04 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:34:04 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:34:04 PM] symbols.files.associations changed, updating to undefined
[INFO 3:34:09 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:34:09 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:34:09 PM] symbols.files.associations changed, updating to undefined
[INFO 3:34:29 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:34:29 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:34:29 PM] symbols.files.associations changed, updating to undefined
[INFO 3:34:51 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:34:51 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:34:51 PM] symbols.files.associations changed, updating to undefined
[INFO 3:40:01 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:40:01 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:40:01 PM] symbols.files.associations changed, updating to undefined
[INFO 3:40:02 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:40:02 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:40:02 PM] symbols.files.associations changed, updating to undefined
[INFO 3:40:13 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:40:13 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:40:13 PM] symbols.files.associations changed, updating to undefined
[INFO 3:40:19 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:40:19 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:40:19 PM] symbols.files.associations changed, updating to undefined
[INFO 3:40:26 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:40:26 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:40:26 PM] symbols.files.associations changed, updating to undefined
[INFO 3:40:43 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:40:43 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:40:43 PM] symbols.files.associations changed, updating to undefined
[INFO 3:42:42 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:42:42 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:42:42 PM] symbols.files.associations changed, updating to undefined
[INFO 3:45:44 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:45:44 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:45:44 PM] symbols.files.associations changed, updating to undefined
[INFO 3:45:45 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:45:45 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:45:45 PM] symbols.files.associations changed, updating to undefined
[INFO 3:46:16 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:46:16 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:46:16 PM] symbols.files.associations changed, updating to undefined
[INFO 3:46:20 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:46:20 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:46:20 PM] symbols.files.associations changed, updating to undefined
[INFO 3:46:35 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:46:35 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:46:35 PM] symbols.files.associations changed, updating to undefined
[INFO 3:46:46 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:46:46 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:46:46 PM] symbols.files.associations changed, updating to undefined
[INFO 3:46:46 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:46:46 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:46:46 PM] symbols.files.associations changed, updating to undefined
[INFO 3:47:20 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:47:20 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:47:20 PM] symbols.files.associations changed, updating to undefined
[INFO 3:47:54 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:47:54 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:47:54 PM] symbols.files.associations changed, updating to undefined
[INFO 3:48:31 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:48:31 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:48:31 PM] symbols.files.associations changed, updating to undefined
[INFO 3:52:14 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:52:14 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:52:14 PM] symbols.files.associations changed, updating to undefined
[INFO 3:52:14 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:52:14 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:52:14 PM] symbols.files.associations changed, updating to undefined
[INFO 3:53:03 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:53:03 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:53:03 PM] symbols.files.associations changed, updating to undefined
[INFO 3:53:03 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:53:03 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:53:03 PM] symbols.files.associations changed, updating to undefined
[INFO 3:53:10 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:53:10 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:53:10 PM] symbols.files.associations changed, updating to undefined
[INFO 3:53:11 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:53:11 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:53:11 PM] symbols.files.associations changed, updating to undefined
[INFO 3:53:38 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:53:38 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:53:38 PM] symbols.files.associations changed, updating to undefined
[INFO 3:53:42 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:53:42 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:53:42 PM] symbols.files.associations changed, updating to undefined
[INFO 3:53:44 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:53:44 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:53:44 PM] symbols.files.associations changed, updating to undefined
