[INFO 9:42:58 AM] miguelsolorio.symbols activated
[INFO 9:42:58 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 9:42:58 AM] symbols.folders.associations changed, updating to undefined
[INFO 9:42:58 AM] symbols.files.associations changed, updating to undefined
[INFO 9:42:59 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 9:42:59 AM] symbols.folders.associations changed, updating to undefined
[INFO 9:42:59 AM] symbols.files.associations changed, updating to undefined
[INFO 9:43:04 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 9:43:04 AM] symbols.folders.associations changed, updating to undefined
[INFO 9:43:04 AM] symbols.files.associations changed, updating to undefined
[INFO 9:43:15 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 9:43:15 AM] symbols.folders.associations changed, updating to undefined
[INFO 9:43:15 AM] symbols.files.associations changed, updating to undefined
[INFO 9:43:18 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 9:43:18 AM] symbols.folders.associations changed, updating to undefined
[INFO 9:43:18 AM] symbols.files.associations changed, updating to undefined
[INFO 9:43:27 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 9:43:27 AM] symbols.folders.associations changed, updating to undefined
[INFO 9:43:27 AM] symbols.files.associations changed, updating to undefined
[INFO 9:43:32 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 9:43:32 AM] symbols.folders.associations changed, updating to undefined
[INFO 9:43:32 AM] symbols.files.associations changed, updating to undefined
[INFO 9:43:39 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 9:43:39 AM] symbols.folders.associations changed, updating to undefined
[INFO 9:43:39 AM] symbols.files.associations changed, updating to undefined
[INFO 9:43:43 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 9:43:43 AM] symbols.folders.associations changed, updating to undefined
[INFO 9:43:43 AM] symbols.files.associations changed, updating to undefined
[INFO 9:43:43 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 9:43:43 AM] symbols.folders.associations changed, updating to undefined
[INFO 9:43:43 AM] symbols.files.associations changed, updating to undefined
[INFO 9:45:36 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 9:45:36 AM] symbols.folders.associations changed, updating to undefined
[INFO 9:45:36 AM] symbols.files.associations changed, updating to undefined
[INFO 9:45:37 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 9:45:37 AM] symbols.folders.associations changed, updating to undefined
[INFO 9:45:37 AM] symbols.files.associations changed, updating to undefined
[INFO 9:45:39 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 9:45:39 AM] symbols.folders.associations changed, updating to undefined
[INFO 9:45:39 AM] symbols.files.associations changed, updating to undefined
[INFO 9:45:40 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 9:45:40 AM] symbols.folders.associations changed, updating to undefined
[INFO 9:45:40 AM] symbols.files.associations changed, updating to undefined
